t,date,layoff_share,joblosers_share,cpi_infl,log_claims,claims,credit_spr,vix,sentiment,log_oil,oil,layoff_share_lag1,joblosers_share_lag1,log_claims_lag1,credit_spr_lag1,vix_lag1,cpi_infl_lag1,sentiment_lag1,log_oil_lag1,layoff_share_lag2,joblosers_share_lag2,log_claims_lag2,credit_spr_lag2,vix_lag2,cpi_infl_lag2,sentiment_lag2,log_oil_lag2,layoff_share_lag3,joblosers_share_lag3,log_claims_lag3,credit_spr_lag3,vix_lag3,cpi_infl_lag3,sentiment_lag3,log_oil_lag3,layoff_share_lag4,joblosers_share_lag4,log_claims_lag4,credit_spr_lag4,vix_lag4,cpi_infl_lag4,sentiment_lag4,log_oil_lag4
364,2020-04-01,0.7823509174311926,0.8940940366972476,0.31305,15.355223187906809,4.66325e6,3.4699999999999998,41.45,71.8,2.806386101823072,16.55,0.2834977064220184,0.5788188073394495,14.663629509735095,3.42,57.74,1.49404,89.1,3.3745111163996495,0.13384174311926605,0.4640825688073394,12.255814737424988,2.11,19.63,2.34132,101.0,3.922765101960048,0.10889908256880734,0.4431307339449541,12.28071618852594,2.01,13.94,2.59977,99.8,4.052132713412791,0.1388302752293578,0.4710665137614679,12.371587084007746,2.0199999999999996,13.76,2.31953,99.3,4.091340053201802
365,2020-05-01,0.7304701834862386,0.869151376146789,0.1982,14.591803319610888,2.1734e6,3.2800000000000002,30.9,72.3,3.3520071374713836,28.56,0.7823509174311926,0.8940940366972476,15.355223187906809,3.4699999999999998,41.45,0.31305,71.8,2.806386101823072,0.2834977064220184,0.5788188073394495,14.663629509735095,3.42,57.74,1.49404,89.1,3.3745111163996495,0.13384174311926605,0.4640825688073394,12.255814737424988,2.11,19.63,2.34132,101.0,3.922765101960048,0.10889908256880734,0.4431307339449541,12.28071618852594,2.01,13.94,2.59977,99.8,4.052132713412791
366,2020-06-01,0.5987729357798165,0.8043004587155964,0.71666,14.214454449082172,1.49025e6,2.91,31.12,78.1,3.6457109587125576,38.31,0.7304701834862386,0.869151376146789,14.591803319610888,3.2800000000000002,30.9,0.1982,72.3,3.3520071374713836,0.7823509174311926,0.8940940366972476,15.355223187906809,3.4699999999999998,41.45,0.31305,71.8,2.806386101823072,0.2834977064220184,0.5788188073394495,14.663629509735095,3.42,57.74,1.49404,89.1,3.3745111163996495,0.13384174311926605,0.4640825688073394,12.255814737424988,2.11,19.63,2.34132,101.0,3.922765101960048
367,2020-07-01,0.5658486238532111,0.7903325688073394,0.99686,14.140127078209117,1.3835e6,2.69,26.84,72.5,3.7064737625148876,40.71,0.5987729357798165,0.8043004587155964,14.214454449082172,2.91,31.12,0.71666,78.1,3.6457109587125576,0.7304701834862386,0.869151376146789,14.591803319610888,3.2800000000000002,30.9,0.1982,72.3,3.3520071374713836,0.7823509174311926,0.8940940366972476,15.355223187906809,3.4699999999999998,41.45,0.31305,71.8,2.806386101823072,0.2834977064220184,0.5788188073394495,14.663629509735095,3.42,57.74,1.49404,89.1,3.3745111163996495
368,2020-08-01,0.45809633027522934,0.7613990825688074,1.28107,13.734734247936986,922400.0,2.62,22.89,74.1,3.745732265706719,42.34,0.5658486238532111,0.7903325688073394,14.140127078209117,2.69,26.84,0.99686,72.5,3.7064737625148876,0.5987729357798165,0.8043004587155964,14.214454449082172,2.91,31.12,0.71666,78.1,3.6457109587125576,0.7304701834862386,0.869151376146789,14.591803319610888,3.2800000000000002,30.9,0.1982,72.3,3.3520071374713836,0.7823509174311926,0.8940940366972476,15.355223187906809,3.4699999999999998,41.45,0.31305,71.8,2.806386101823072
369,2020-09-01,0.3693004587155963,0.7254816513761468,1.39102,13.655048335523214,851750.0,2.6799999999999997,27.65,80.4,3.679586407202344,39.63,0.45809633027522934,0.7613990825688074,13.734734247936986,2.62,22.89,1.28107,74.1,3.745732265706719,0.5658486238532111,0.7903325688073394,14.140127078209117,2.69,26.84,0.99686,72.5,3.7064737625148876,0.5987729357798165,0.8043004587155964,14.214454449082172,2.91,31.12,0.71666,78.1,3.6457109587125576,0.7304701834862386,0.869151376146789,14.591803319610888,3.2800000000000002,30.9,0.1982,72.3,3.3520071374713836
370,2020-10-01,0.2924770642201835,0.700538990825688,1.23039,13.586600411755727,795400.0,2.65,29.44,81.8,3.673765816303888,39.4,0.3693004587155963,0.7254816513761468,13.655048335523214,2.6799999999999997,27.65,1.39102,80.4,3.679586407202344,0.45809633027522934,0.7613990825688074,13.734734247936986,2.62,22.89,1.28107,74.1,3.745732265706719,0.5658486238532111,0.7903325688073394,14.140127078209117,2.69,26.84,0.99686,72.5,3.7064737625148876,0.5987729357798165,0.8043004587155964,14.214454449082172,2.91,31.12,0.71666,78.1,3.6457109587125576
371,2020-11-01,0.26254587155963305,0.6985435779816515,1.17575,13.529493764831555,751250.0,2.4299999999999997,25.0,76.9,3.7121075802331434,40.94,0.2924770642201835,0.700538990825688,13.586600411755727,2.65,29.44,1.23039,81.8,3.673765816303888,0.3693004587155963,0.7254816513761468,13.655048335523214,2.6799999999999997,27.65,1.39102,80.4,3.679586407202344,0.45809633027522934,0.7613990825688074,13.734734247936986,2.62,22.89,1.28107,74.1,3.745732265706719,0.5658486238532111,0.7903325688073394,14.140127078209117,2.69,26.84,0.99686,72.5,3.7064737625148876
372,2020-12-01,0.2834977064220184,0.6736009174311927,1.32042,13.637280619073573,836750.0,2.23,22.37,80.7,3.8507856959569566,47.03,0.26254587155963305,0.6985435779816515,13.529493764831555,2.4299999999999997,25.0,1.17575,76.9,3.7121075802331434,0.2924770642201835,0.700538990825688,13.586600411755727,2.65,29.44,1.23039,81.8,3.673765816303888,0.3693004587155963,0.7254816513761468,13.655048335523214,2.6799999999999997,27.65,1.39102,80.4,3.679586407202344,0.45809633027522934,0.7613990825688074,13.734734247936986,2.62,22.89,1.28107,74.1,3.745732265706719
373,2021-01-01,0.2675344036697248,0.6835779816513762,1.37384,13.626526858296769,827800.0,2.16,24.91,79.0,3.9514360077849813,52.01,0.2834977064220184,0.6736009174311927,13.637280619073573,2.23,22.37,1.32042,80.7,3.8507856959569566,0.26254587155963305,0.6985435779816515,13.529493764831555,2.4299999999999997,25.0,1.17575,76.9,3.7121075802331434,0.2924770642201835,0.700538990825688,13.586600411755727,2.65,29.44,1.23039,81.8,3.673765816303888,0.3693004587155963,0.7254816513761468,13.655048335523214,2.6799999999999997,27.65,1.39102,80.4,3.679586407202344
